Category,Count
character select,266
sm64coopdx,222
sm64ex-coop,181
romhack,131
custom character,107
mario,46
moveset,44
character-select,44
classic,37
fun,35
dynos,35
widdlepets,34
character,31
short,31
custom voice,28
custom caps,27
joke,25
character-pack,25
casual,25
kaizo,23
sonic,22
#romhack,22
custom level,20
tradtional,20
luigi,20
original character,19
gamemode,18
custom moveset,18
voice acted,18
custom model,17
old,17
hard,16
pets,16
pokemon,15
super mario 64,14
star revenge,14
hangout,13
sonic the hedgehog,13
agent x,12
minecraft,11
anime,11
custom animations,11
easy,11
kaze,11
widdlepet,11
utility,10
light kaizo,10
dynos pack,10
game modifier,10
music,10
sm64,10
deltarune,10
cs pack,10
funny,10
sm64ex,10
brodute,10
audio,9
traditional,9
long,9
wario,9
mod,9
crash bandicoot,9
toby fox,9
custom music,9
stars,8
player model,8
waluigi,8
yoshi,8
disney,8
pet,8
arena,7
toad,7
smash,7
undertale,7
custom health meter,7
cute,7
kirby,7
goomba,7
smg4,7
pvp,7
qol,7
star,6
mariohunt,6
bowser,6
challenge,6
bowser moveset compatible,6
roblox,6
custom icon,6
pizza tower,6
touhou,6
meme,6
legacy,6
hud,6
coin,6
vanilla,6
wpets,6
retro,6
#long,6
extension,5
competitive,5
coins,5
custom hud,5
custom star,5
peach,5
characterselect,5
donkey kong,5
mega man,5
homestuck,5
homestuck beyond canon,5
custom cap,5
skin,5
gore,5
custom coloring,5
custom sounds,5
custom,5
character moveset,5
challenging,5
spooky,5
lincrash,5
#short,5
major,5
#easy,5
map,4
addon,4
game mode,4
animation,4
playstation,4
animal crossing,4
skinpack,4
joke mod,4
bomberman,4
cs comp - iconic duo,4
recolorability,4
palette preset,4
crash team racing,4
ctr,4
mario & luigi,4
horrorbrew,4
mega man x,4
green,4
custom power meter,4
nintendo,4
paper mario,4
creepypasta,4
commission,4
super mario world,4
earthbound,4
splatoon,4
halloween,4
enjoyable,4
ganbare goemon,4
challenges,4
#fun,4
medium,4
#classic,4
odyssey,4
beta,3
blocks,3
kart,3
mario kart,3
chat,3
chaos,3
library,3
video game,3
silly,3
antonball,3
antonball deluxe,3
daisy,3
customcharacter,3
birdo,3
shitpost,3
sans,3
family guy,3
garn47,3
cat,3
fast,3
horror,3
crash,3
crash tag team racing,3
cttr,3
christmas,3
archive,3
mario and luigi,3
custom palette,3
nes,3
n64,3
preset palette,3
umamusume,3
tenna,3
ff7,3
epic,3
trashcam,3
youtube,3
ytp,3
little witch academia,3
witch,3
louie,3
original,3
penguin,3
mother,3
super mario galaxy,3
super mario sunshine,3
pikmin,3
peppino,3
vtuber,3
skeleton,3
modernization,3
voice,3
light,3
gui,3
game mode competition 2024,3
goemon,3
star road,3
tool,3
lugmillord,3
crossover,3
minihack,3
ost,3
music pack,3
only-up-64,3
thelegendofzenia,3
major-hack,3
adventure,3
#joke,3
animations,2
game mode levels,2
asterix,2
astérix le gaulois,2
beatblocks,2
kaizo-ish,2
blue,2
collaboration,2
#small,2
door-bust,2
celeste,2
api,2
coco bandicoot,2
cheat,2
cheats,2
mods,2
#speed,2
custom gui,2
weapon,2
a minecraft movie,2
steve,2
control swap,2
randomizer,2
coop,2
minigame,2
warioware,2
model's resource,2
a hat in time,2
antonblast,2
animalcrossing,2
sonic oc,2
adult swim,2
characters,2
rosalina,2
sega,2
cool,2
wario land,2
shantae,2
#bomb,2
papyrus,2
fuga: melodies of steel,2
costume,2
car,2
legend of zelda,2
el chavo,2
el chavo del ocho,2
banjo,2
m&l,2
cuphead,2
tf2,2
arcade,2
movie,2
ps1,2
puyo,2
dudaw12,2
dragonball,2
goku,2
rayman,2
fnaf,2
spamton,2
half-life,2
half-life 1,2
half-life 2,2
fnf,2
